arxiv_id,title,authors,abstract,published,pdf_url,categories
1311.0716v1,Artificial Intelligence in Humans,['Michael Swan Laufer'],"In this paper, I put forward that in many instances, thinking mechanisms are
equivalent to artificial intelligence modules programmed into the human mind.",2013-10-30T14:19:49Z,http://arxiv.org/pdf/1311.0716v1,['cs.AI']
1903.04442v1,Physics Enhanced Artificial Intelligence,"[""Patrick O'Driscoll"", 'Jaehoon Lee', 'Bo Fu']","We propose that intelligently combining models from the domains of Artificial
Intelligence or Machine Learning with Physical and Expert models will yield a
more ""trustworthy"" model than any one model from a single domain, given a
complex and narrow enough problem. Based on mean-variance portfolio theory and
bias-variance trade-off analysis, we prove combining models from various
domains produces a model that has lower risk, increasing user trust. We call
such combined models - physics enhanced artificial intelligence (PEAI), and
suggest use cases for PEAI.",2019-03-11T17:03:19Z,http://arxiv.org/pdf/1903.04442v1,"['cs.AI', 'cs.LG']"
1606.08514v4,Towards Verified Artificial Intelligence,"['Sanjit A. Seshia', 'Dorsa Sadigh', 'S. Shankar Sastry']","Verified artificial intelligence (AI) is the goal of designing AI-based
systems that that have strong, ideally provable, assurances of correctness with
respect to mathematically-specified requirements. This paper considers Verified
AI from a formal methods perspective. We describe five challenges for achieving
Verified AI, and five corresponding principles for addressing these challenges.",2016-06-27T23:51:04Z,http://arxiv.org/pdf/1606.08514v4,['cs.AI']
1812.04814v1,Linking Artificial Intelligence Principles,"['Yi Zeng', 'Enmeng Lu', 'Cunqing Huangfu']","Artificial Intelligence principles define social and ethical considerations
to develop future AI. They come from research institutes, government
organizations and industries. All versions of AI principles are with different
considerations covering different perspectives and making different emphasis.
None of them can be considered as complete and can cover the rest AI principle
proposals. Here we introduce LAIP, an effort and platform for linking and
analyzing different Artificial Intelligence Principles. We want to explicitly
establish the common topics and links among AI Principles proposed by different
organizations and investigate on their uniqueness. Based on these efforts, for
the long-term future of AI, instead of directly adopting any of the AI
principles, we argue for the necessity of incorporating various AI Principles
into a comprehensive framework and focusing on how they can interact and
complete each other.",2018-12-12T05:43:57Z,http://arxiv.org/pdf/1812.04814v1,"['cs.AI', 'cs.CY']"
2407.16314v1,Capital as Artificial Intelligence,"['Cesare Carissimo', 'Marcin Korecki']","We gather many perspectives on Capital and synthesize their commonalities. We
provide a characterization of Capital as a historical agential system and
propose a model of Capital using tools from computer science. Our model
consists of propositions which, if satisfied by a specific grounding,
constitute a valid model of Capital. We clarify the manners in which Capital
can evolve. We claim that, when its evolution is driven by quantitative
optimization processes, Capital can possess qualities of Artificial
Intelligence. We find that Capital may not uniquely represent meaning, in the
same way that optimization is not intentionally meaningful. We find that
Artificial Intelligences like modern day Large Language Models are a part of
Capital. We link our readers to a web-interface where they can interact with a
part of Capital.",2024-07-23T09:05:33Z,http://arxiv.org/pdf/2407.16314v1,"['cs.CY', 'econ.TH']"
2001.00627v1,Artificial Intelligence in Surgery,"['Xiao-Yun Zhou', 'Yao Guo', 'Mali Shen', 'Guang-Zhong Yang']","Artificial Intelligence (AI) is gradually changing the practice of surgery
with the advanced technological development of imaging, navigation and robotic
intervention. In this article, the recent successful and influential
applications of AI in surgery are reviewed from pre-operative planning and
intra-operative guidance to the integration of surgical robots. We end with
summarizing the current state, emerging trends and major challenges in the
future development of AI in surgery.",2019-12-23T12:39:04Z,http://arxiv.org/pdf/2001.00627v1,"['physics.med-ph', 'cs.AI', 'eess.IV']"
1908.10345v1,Artificial Intelligence Approaches,"['Yingjie Hu', 'Wenwen Li', 'Dawn Wright', 'Orhun Aydin', 'Daniel Wilson', 'Omar Maher', 'Mansour Raad']","Artificial Intelligence (AI) has received tremendous attention from academia,
industry, and the general public in recent years. The integration of geography
and AI, or GeoAI, provides novel approaches for addressing a variety of
problems in the natural environment and our human society. This entry briefly
reviews the recent development of AI with a focus on machine learning and deep
learning approaches. We discuss the integration of AI with geography and
particularly geographic information science, and present a number of GeoAI
applications and possible future directions.",2019-08-27T17:36:27Z,http://arxiv.org/pdf/1908.10345v1,['cs.AI']
2212.11854v4,Data-Centric Artificial Intelligence,"['Johannes Jakubik', 'Michael Vössing', 'Niklas Kühl', 'Jannis Walk', 'Gerhard Satzger']","Data-centric artificial intelligence (data-centric AI) represents an emerging
paradigm emphasizing that the systematic design and engineering of data is
essential for building effective and efficient AI-based systems. The objective
of this article is to introduce practitioners and researchers from the field of
Information Systems (IS) to data-centric AI. We define relevant terms, provide
key characteristics to contrast the data-centric paradigm to the model-centric
one, and introduce a framework for data-centric AI. We distinguish data-centric
AI from related concepts and discuss its longer-term implications for the IS
community.",2022-12-22T16:41:03Z,http://arxiv.org/pdf/2212.11854v4,['cs.AI']
2202.09859v1,Cooperative Artificial Intelligence,['Tobias Baumann'],"In the future, artificial learning agents are likely to become increasingly
widespread in our society. They will interact with both other learning agents
and humans in a variety of complex settings including social dilemmas. We argue
that there is a need for research on the intersection between game theory and
artificial intelligence, with the goal of achieving cooperative artificial
intelligence that can navigate social dilemmas well. We consider the problem of
how an external agent can promote cooperation between artificial learners by
distributing additional rewards and punishments based on observing the actions
of the learners. We propose a rule for automatically learning how to create the
right incentives by considering the anticipated parameter updates of each
agent. Using this learning rule leads to cooperation with high social welfare
in matrix games in which the agents would otherwise learn to defect with high
probability. We show that the resulting cooperative outcome is stable in
certain games even if the planning agent is turned off after a given number of
episodes, while other games require ongoing intervention to maintain mutual
cooperation. Finally, we reflect on what the goals of multi-agent reinforcement
learning should be in the first place, and discuss the necessary building
blocks towards the goal of building cooperative AI.",2022-02-20T16:50:37Z,http://arxiv.org/pdf/2202.09859v1,"['cs.AI', 'cs.GT', 'cs.MA']"
1802.04451v2,Blockchain and Artificial Intelligence,"['Tshilidzi Marwala', 'Bo Xing']","It is undeniable that artificial intelligence (AI) and blockchain concepts
are spreading at a phenomenal rate. Both technologies have distinct degree of
technological complexity and multi-dimensional business implications. However,
a common misunderstanding about blockchain concept, in particular, is that
blockchain is decentralized and is not controlled by anyone. But the underlying
development of a blockchain system is still attributed to a cluster of core
developers. Take smart contract as an example, it is essentially a collection
of codes (or functions) and data (or states) that are programmed and deployed
on a blockchain (say, Ethereum) by different human programmers. It is thus,
unfortunately, less likely to be free of loopholes and flaws. In this article,
through a brief overview about how artificial intelligence could be used to
deliver bug-free smart contract so as to achieve the goal of blockchain 2.0, we
to emphasize that the blockchain implementation can be assisted or enhanced via
various AI techniques. The alliance of AI and blockchain is expected to create
numerous possibilities.",2018-02-13T03:10:59Z,http://arxiv.org/pdf/1802.04451v2,['cs.AI']
